lon,lat,clay,sand
319705,4313765,30.6,22.3
323405,4303315,19.2,43.8
324105,4316085,30.3,24.9
326235,4316145,31.6,15.35
327405,4316115,27.9,28.45
327815,4311245,22.75,41.85
328345,4310425,16.4,54.6
328455,4316315,29.3,33.9
331055,4309775,36.5,16.9
331085,4309815,34.2,17.7
331085,4309805,35.4,11.5
337795,4302205,25.3,31.05
327905,4313905,22.9,34.8
327905,4313915,24.1,36.4
327905,4313925,26.8,32.2
327905,4313935,29.2,29.9
327895,4313935,26.7,35.1
328015,4313975,31.8,26.2
328025,4313975,29.3,21.1
328015,4313965,34.4,26.2
328045,4313985,35.8,9.5
330785,4309925,38.4,13.1
330765,4309915,40.8,14.5
330765,4309915,39.6,19.6
330745,4309895,43.5,12.9
330725,4309905,39.8,19.2
330725,4309885,42.2,14.4
330715,4309885,38.2,19.8
330725,4309885,42.2,16.9
330695,4309885,36.8,14.9
330705,4309885,38,15.1
327785,4313875,31.6,12.6
327795,4313885,33.2,16
327845,4313895,33.1,13.7
327855,4313885,30.9,13.8
327875,4313825,15.3,50.5
327895,4313865,23.4,40.3
327905,4313855,21.7,49
327935,4313845,23.1,43.7
327925,4313845,17.9,52.6
327905,4313895,25.4,38.8
330645,4309905,35.8,19.5
330625,4309925,37,13.3
330825,4309785,40.7,11.1
330825,4309775,36.9,12.2
330835,4309755,39.6,18.3
330835,4309755,37.1,17.9
330815,4309775,37.2,15.4
330815,4309705,32,16.7
328325,4310575,19,49.2
330865,4309815,41.2,15.1
330885,4309805,37.2,19
330865,4309805,41.1,16.6
330885,4309815,36,25.4
330875,4309795,38.5,26.7
330875,4309775,42.5,22.6
330845,4309785,39.6,15.6
330875,4309805,38.5,24.4
330835,4309805,37.1,14.4
330845,4309805,41.2,9.9
330805,4309885,34.4,22.3
330825,4309845,34.4,28.7
330805,4309845,33,21.2
330855,4309765,33.2,26
328435,4310565,24.5,39.4
328425,4310565,20.4,52.8
328425,4310545,19.2,48.7
328415,4310555,20.4,48.9
328415,4310565,16.6,52.8
328405,4310555,17.9,51.6
328925,4310515,29.4,31
328925,4310525,31.9,31
328915,4310515,31.8,33.9
328955,4310535,34.2,31.5
328975,4310535,27,28.3
328965,4310535,30.4,32.7
328985,4310525,30.5,28.8
328995,4310525,32,26
329005,4310525,36.9,31.2
329035,4310555,30.6,24.8
329005,4310535,34.3,31.5
329015,4310555,31.9,26
329005,4310535,33.1,28.8
329025,4310585,30.8,26.9
328485,4310615,20.5,43.6
328545,4310625,20.4,47.7
328595,4310615,16.8,46
328545,4310505,26.1,37.3
328945,4310575,28,28.6
328965,4310655,46.3,20.4
328945,4310685,52.7,11.7
328915,4310655,20.4,24.7
328305,4310565,16.6,42.4
328345,4310635,19.3,46.1
328335,4310615,19.2,45
328865,4310635,20.4,28.8
328865,4310585,20.4,34.3
328935,4310585,30.5,31.4
328985,4310565,28.1,29.7
326305,4317255,34.7,17.9
326315,4317225,37.3,15.1
326345,4317225,39.7,23.2
326365,4317195,38.3,16.9
326365,4317175,40.9,14.4
326355,4317135,38.3,13
326345,4317065,34.7,24.3
326345,4317075,40.8,12
326305,4317165,38.2,14.6
326305,4317185,40.6,11.2
326435,4317275,33.6,23.8
326435,4317285,39.4,12.3
326295,4317405,25.9,35.3
326215,4317495,30.6,30.3
326205,4317505,35.7,18.8
325995,4316745,37.4,13.7
325885,4316775,34.6,14.2
325475,4312025,48.4,3.3
325465,4312015,48.4,3.3
325485,4311745,35.7,13.4
325535,4311755,51,12.5
325655,4311745,33.3,19.7
325615,4311675,20.4,36.4
325515,4311715,39.4,9.6
325535,4311695,24.3,46.6
325555,4311635,46.3,8.8
325605,4311595,23.2,34.2
325495,4311565,37,9.3
326565,4317325,33.1,22.3
326565,4317335,35.5,20.2
326545,4317315,36.9,18.5
326525,4317305,38.1,21.3
326505,4317275,37,19.6
326505,4317295,35.5,21.3
326485,4317255,39.4,12.2
326495,4317285,38.1,18.7
326415,4317195,37,10.7
326485,4317275,38.1,13.8
325925,4316795,35.8,14.4
326455,4317275,38.3,12
325935,4316795,36.9,14.7
325945,4316795,34.4,15.9
325955,4316795,35.7,17.2
325965,4316805,33.1,23.4
325965,4316805,35.8,16.9
325975,4316805,35.6,18.5
325985,4316815,37,14.6
325585,4311755,38.6,25.4
325585,4311755,37.2,28.4
325575,4311745,31.9,29.9
325565,4311735,37,28.6
325565,4311725,39.5,27.4
325635,4311765,35.8,25.8
325635,4311755,39.4,28.9
325635,4311745,33.1,26.2
325625,4311755,38.1,26.4
325615,4311735,31.8,26.3
